s, A
0.000000, 1.128684
1.000000, 1.099311
2.000000, 1.030887
3.000000, 1.084518
4.000000, 1.082718
5.000000, 1.138423
6.000000, 1.079216
7.000000, 1.099397
8.000000, 1.105981
9.000000, 1.184750
10.000000, 1.073201
11.000000, 1.010032
12.000000, 0.977611
13.000000, 1.042948
14.000000, 1.071023
15.000000, 1.109425
16.000000, 1.127313
17.000000, 1.073494
18.000000, 1.055771
19.000000, 0.964196
20.000000, 0.957757
21.000000, 0.916138
22.000000, 1.073921
23.000000, 0.972256
24.000000, 1.132027
25.000000, 1.075421
26.000000, 0.974371
27.000000, 0.964176
28.000000, 0.960965
29.000000, 0.960636
30.000000, 0.958096
31.000000, 0.963933
32.000000, 0.909213
33.000000, 0.982601
34.000000, 1.019425
35.000000, 1.080452
36.000000, 1.092551
37.000000, 0.992923
38.000000, 1.039875
39.000000, 1.019532
40.000000, 1.070518
41.000000, 1.049495
42.000000, 1.022648
43.000000, 1.055375
44.000000, 0.999393
45.000000, 0.996731
46.000000, 1.022097
47.000000, 1.011775
48.000000, 0.999841
49.000000, 1.048641
50.000000, 1.031677
51.000000, 0.992182
52.000000, 1.122049
53.000000, 1.136756
54.000000, 1.082743
55.000000, 0.996160
56.000000, 1.006456
57.000000, 1.016968
58.000000, 0.930188
59.000000, 0.930019
60.000000, 0.953923
