s, A
0.000000, 0.326920
1.000000, 0.326930
2.000000, 0.317521
3.000000, 0.325337
4.000000, 0.306920
5.000000, 0.321535
6.000000, 0.328569
7.000000, 0.320942
8.000000, 0.319126
9.000000, 0.319186
10.000000, 0.310967
11.000000, 0.303799
12.000000, 0.314296
13.000000, 0.320882
14.000000, 0.320538
15.000000, 0.320574
16.000000, 0.313380
17.000000, 0.320783
18.000000, 0.312827
19.000000, 0.312417
20.000000, 0.312499
21.000000, 0.312759
22.000000, 0.320142
23.000000, 0.320977
24.000000, 0.317514
25.000000, 0.317984
26.000000, 0.317633
27.000000, 0.325133
28.000000, 0.309278
29.000000, 0.308761
30.000000, 0.315920
31.000000, 0.315545
32.000000, 0.323846
33.000000, 0.306128
34.000000, 0.321879
35.000000, 0.311618
36.000000, 0.303947
37.000000, 0.317956
38.000000, 0.317635
39.000000, 0.316857
40.000000, 0.324789
41.000000, 0.331989
42.000000, 0.308760
43.000000, 0.325257
44.000000, 0.312073
45.000000, 0.318340
46.000000, 0.318007
47.000000, 0.317422
48.000000, 0.313762
49.000000, 0.322720
50.000000, 0.315493
51.000000, 0.315281
52.000000, 0.315598
53.000000, 0.315699
54.000000, 0.313509
55.000000, 0.322830
56.000000, 0.314530
57.000000, 0.322616
58.000000, 0.307668
59.000000, 0.324821
60.000000, 0.316621
