s, A
0.000000, 1.040284
1.000000, 1.040266
2.000000, 1.032363
3.000000, 1.032124
4.000000, 1.031592
5.000000, 1.031925
6.000000, 1.032085
7.000000, 1.031723
8.000000, 1.031802
9.000000, 1.031783
10.000000, 1.031451
11.000000, 1.038438
12.000000, 1.031024
13.000000, 1.031248
14.000000, 1.030685
15.000000, 1.031026
16.000000, 1.030811
17.000000, 1.031570
18.000000, 1.032203
19.000000, 1.032271
20.000000, 1.032280
21.000000, 1.032234
22.000000, 1.032094
23.000000, 1.032349
24.000000, 1.032362
25.000000, 1.032798
26.000000, 1.032810
27.000000, 1.032901
28.000000, 1.032067
29.000000, 1.032758
30.000000, 1.032336
31.000000, 1.032251
32.000000, 1.031660
33.000000, 1.031057
34.000000, 1.031270
35.000000, 1.031809
36.000000, 1.032027
37.000000, 1.031505
38.000000, 1.031150
39.000000, 1.030772
40.000000, 1.030798
41.000000, 1.030736
42.000000, 1.030390
43.000000, 1.030162
44.000000, 1.029343
45.000000, 1.029722
46.000000, 1.030397
47.000000, 1.021992
48.000000, 1.029676
49.000000, 1.029723
50.000000, 1.029881
51.000000, 1.030566
52.000000, 1.030697
53.000000, 1.030383
54.000000, 1.030523
55.000000, 1.029716
56.000000, 1.029459
57.000000, 1.029681
58.000000, 1.029977
59.000000, 1.029980
60.000000, 1.030481
