s, A
0.000000, 0.612906
1.000000, 0.612877
2.000000, 0.603975
3.000000, 0.604470
4.000000, 0.604159
5.000000, 0.604265
6.000000, 0.604416
7.000000, 0.604246
8.000000, 0.604014
9.000000, 0.603712
10.000000, 0.603413
11.000000, 0.603551
12.000000, 0.603534
13.000000, 0.603462
14.000000, 0.602872
15.000000, 0.602611
16.000000, 0.602628
17.000000, 0.602610
18.000000, 0.602649
19.000000, 0.602898
20.000000, 0.602736
21.000000, 0.602598
22.000000, 0.602518
23.000000, 0.602521
24.000000, 0.602237
25.000000, 0.602448
26.000000, 0.602228
27.000000, 0.601766
28.000000, 0.601475
29.000000, 0.601230
30.000000, 0.601186
31.000000, 0.601110
32.000000, 0.601077
33.000000, 0.600798
34.000000, 0.600919
35.000000, 0.601036
36.000000, 0.601536
37.000000, 0.601369
38.000000, 0.601165
39.000000, 0.600719
40.000000, 0.600406
41.000000, 0.600388
42.000000, 0.600380
43.000000, 0.600259
44.000000, 0.600382
45.000000, 0.600507
46.000000, 0.599877
47.000000, 0.599549
48.000000, 0.599248
49.000000, 0.599274
50.000000, 0.599050
51.000000, 0.598763
52.000000, 0.598369
53.000000, 0.598077
54.000000, 0.598321
55.000000, 0.598250
56.000000, 0.598252
57.000000, 0.598240
58.000000, 0.598018
59.000000, 0.598407
60.000000, 0.598321
