s, A
0.000000, 0.994343
1.000000, 0.994354
2.000000, 0.985854
3.000000, 0.985871
4.000000, 0.986368
5.000000, 0.986284
6.000000, 0.986635
7.000000, 0.986305
8.000000, 0.993769
9.000000, 0.977702
10.000000, 0.985286
11.000000, 0.988392
12.000000, 0.988322
13.000000, 0.980481
14.000000, 0.979578
15.000000, 0.987367
16.000000, 0.971856
17.000000, 0.963804
18.000000, 0.963041
19.000000, 0.962074
20.000000, 0.960888
21.000000, 0.959864
22.000000, 0.958959
23.000000, 0.958258
24.000000, 0.957728
25.000000, 0.957270
26.000000, 0.956834
27.000000, 0.956348
28.000000, 0.955932
29.000000, 0.955597
30.000000, 0.955560
31.000000, 0.955736
32.000000, 0.955985
33.000000, 0.956284
34.000000, 0.956527
35.000000, 0.956651
36.000000, 0.956719
37.000000, 0.956684
38.000000, 0.956565
39.000000, 0.956333
40.000000, 0.955987
41.000000, 0.955509
42.000000, 0.955055
43.000000, 0.954622
44.000000, 0.954354
45.000000, 0.954165
46.000000, 0.954032
47.000000, 0.953934
48.000000, 0.953760
49.000000, 0.953428
50.000000, 0.953046
51.000000, 0.952631
52.000000, 0.952303
53.000000, 0.951942
54.000000, 0.951446
55.000000, 0.950621
56.000000, 0.949635
57.000000, 0.948499
58.000000, 0.947336
59.000000, 0.946059
60.000000, 0.944778
61.000000, 0.937147
62.000000, 0.936716
63.000000, 0.936104
64.000000, 0.935323
65.000000, 0.934369
66.000000, 0.933285
67.000000, 0.932259
68.000000, 0.931274
69.000000, 0.930240
70.000000, 0.929126
71.000000, 0.921604
72.000000, 0.921235
73.000000, 0.920590
74.000000, 0.919637
75.000000, 0.918651
76.000000, 0.917654
77.000000, 0.916655
78.000000, 0.915599
79.000000, 0.914476
80.000000, 0.913265
81.000000, 0.911840
82.000000, 0.904060
83.000000, 0.903788
84.000000, 0.903167
85.000000, 0.902270
86.000000, 0.901226
87.000000, 0.900060
88.000000, 0.898836
89.000000, 0.897668
90.000000, 0.896490
91.000000, 0.895371
92.000000, 0.894334
93.000000, 0.893340
94.000000, 0.892270
95.000000, 0.891088
96.000000, 0.889871
97.000000, 0.888518
98.000000, 0.887172
99.000000, 0.879369
100.000000, 0.879087
101.000000, 0.878576
102.000000, 0.877848
103.000000, 0.876936
104.000000, 0.875938
105.000000, 0.874717
106.000000, 0.873348
107.000000, 0.872082
108.000000, 0.864732
109.000000, 0.864413
110.000000, 0.863844
111.000000, 0.863149
112.000000, 0.862353
113.000000, 0.861385
114.000000, 0.860227
115.000000, 0.858961
116.000000, 0.851822
117.000000, 0.851475
118.000000, 0.850881
119.000000, 0.850155
120.000000, 0.849338
121.000000, 0.848358
122.000000, 0.847375
123.000000, 0.846261
124.000000, 0.845172
125.000000, 0.844064
126.000000, 0.842980
127.000000, 0.841896
128.000000, 0.840762
129.000000, 0.839491
130.000000, 0.838364
131.000000, 0.837131
132.000000, 0.835948
133.000000, 0.834710
134.000000, 0.826875
135.000000, 0.826654
136.000000, 0.826153
137.000000, 0.825456
138.000000, 0.824739
139.000000, 0.823935
140.000000, 0.823102
141.000000, 0.822227
142.000000, 0.821329
143.000000, 0.820303
144.000000, 0.819246
145.000000, 0.818157
146.000000, 0.817122
147.000000, 0.816072
148.000000, 0.814998
149.000000, 0.813908
150.000000, 0.812763
151.000000, 0.811709
152.000000, 0.810654
153.000000, 0.809726
154.000000, 0.808789
155.000000, 0.807902
156.000000, 0.806971
157.000000, 0.806015
158.000000, 0.805022
159.000000, 0.804074
160.000000, 0.803074
161.000000, 0.802136
162.000000, 0.801219
163.000000, 0.800341
164.000000, 0.799493
165.000000, 0.798652
166.000000, 0.797829
167.000000, 0.796964
168.000000, 0.796164
169.000000, 0.795393
170.000000, 0.794710
171.000000, 0.793962
172.000000, 0.793225
173.000000, 0.792523
174.000000, 0.791843
175.000000, 0.791200
176.000000, 0.790540
177.000000, 0.789955
178.000000, 0.789351
179.000000, 0.788786
180.000000, 0.788186
181.000000, 0.787588
182.000000, 0.786946
183.000000, 0.786340
184.000000, 0.785783
185.000000, 0.785236
186.000000, 0.784646
187.000000, 0.784046
188.000000, 0.783444
189.000000, 0.782856
190.000000, 0.782272
191.000000, 0.781645
192.000000, 0.781069
193.000000, 0.780509
194.000000, 0.779958
195.000000, 0.779385
196.000000, 0.778776
197.000000, 0.778138
198.000000, 0.777522
199.000000, 0.776929
200.000000, 0.776270
201.000000, 0.775676
202.000000, 0.775041
203.000000, 0.774405
204.000000, 0.773790
205.000000, 0.773239
206.000000, 0.772732
207.000000, 0.772270
208.000000, 0.771784
209.000000, 0.771291
210.000000, 0.770826
211.000000, 0.770378
212.000000, 0.769970
213.000000, 0.769527
214.000000, 0.769092
215.000000, 0.768684
216.000000, 0.768261
217.000000, 0.767791
218.000000, 0.767348
219.000000, 0.766907
220.000000, 0.766503
221.000000, 0.766159
222.000000, 0.765796
223.000000, 0.765368
224.000000, 0.765005
225.000000, 0.764676
226.000000, 0.764335
227.000000, 0.764069
228.000000, 0.763768
229.000000, 0.763481
230.000000, 0.763274
231.000000, 0.763024
232.000000, 0.762748
233.000000, 0.762502
234.000000, 0.762255
235.000000, 0.762010
236.000000, 0.761729
237.000000, 0.761463
238.000000, 0.761154
239.000000, 0.760786
240.000000, 0.760431
241.000000, 0.760134
242.000000, 0.759796
243.000000, 0.759472
244.000000, 0.759112
245.000000, 0.758775
246.000000, 0.758459
247.000000, 0.758158
248.000000, 0.757843
249.000000, 0.757552
250.000000, 0.757292
251.000000, 0.757010
252.000000, 0.756749
253.000000, 0.756492
254.000000, 0.756240
255.000000, 0.755997
256.000000, 0.755704
257.000000, 0.755415
258.000000, 0.755176
259.000000, 0.754925
260.000000, 0.754698
261.000000, 0.754410
262.000000, 0.754139
263.000000, 0.753925
264.000000, 0.753633
265.000000, 0.753308
266.000000, 0.753009
267.000000, 0.752765
268.000000, 0.752542
269.000000, 0.752337
270.000000, 0.752116
271.000000, 0.751880
272.000000, 0.751613
273.000000, 0.751284
274.000000, 0.750991
275.000000, 0.750700
276.000000, 0.750461
277.000000, 0.750215
278.000000, 0.749908
279.000000, 0.749601
280.000000, 0.749316
281.000000, 0.749057
282.000000, 0.748779
283.000000, 0.748440
284.000000, 0.748080
285.000000, 0.747782
286.000000, 0.747452
287.000000, 0.747119
288.000000, 0.746770
289.000000, 0.746421
290.000000, 0.746045
291.000000, 0.745677
292.000000, 0.745302
293.000000, 0.744904
294.000000, 0.744579
295.000000, 0.744215
296.000000, 0.743851
297.000000, 0.743457
298.000000, 0.743146
299.000000, 0.742818
300.000000, 0.742486
301.000000, 0.742183
302.000000, 0.741894
303.000000, 0.741597
304.000000, 0.741314
305.000000, 0.741058
306.000000, 0.740793
307.000000, 0.740527
308.000000, 0.740248
309.000000, 0.739995
310.000000, 0.739708
311.000000, 0.739453
312.000000, 0.739204
313.000000, 0.738962
314.000000, 0.738723
315.000000, 0.738477
316.000000, 0.738207
317.000000, 0.737969
318.000000, 0.737743
319.000000, 0.737506
320.000000, 0.737301
321.000000, 0.737081
322.000000, 0.736867
323.000000, 0.736671
324.000000, 0.736470
325.000000, 0.736262
326.000000, 0.736030
327.000000, 0.735850
328.000000, 0.735643
329.000000, 0.735406
330.000000, 0.735193
331.000000, 0.734969
332.000000, 0.734768
333.000000, 0.734534
334.000000, 0.734284
335.000000, 0.734010
336.000000, 0.733778
337.000000, 0.733529
338.000000, 0.733214
339.000000, 0.732972
340.000000, 0.732663
341.000000, 0.732334
342.000000, 0.732039
343.000000, 0.731787
344.000000, 0.731518
345.000000, 0.731226
346.000000, 0.730882
347.000000, 0.730532
348.000000, 0.730234
349.000000, 0.729967
350.000000, 0.729708
351.000000, 0.729432
352.000000, 0.729092
353.000000, 0.728851
354.000000, 0.728625
355.000000, 0.728402
356.000000, 0.728176
357.000000, 0.727933
358.000000, 0.727678
359.000000, 0.727480
360.000000, 0.727269
361.000000, 0.727045
362.000000, 0.726858
363.000000, 0.726639
364.000000, 0.726422
365.000000, 0.726189
366.000000, 0.725902
367.000000, 0.725663
368.000000, 0.725523
369.000000, 0.725307
370.000000, 0.725115
371.000000, 0.724932
372.000000, 0.724752
373.000000, 0.724540
374.000000, 0.724315
375.000000, 0.724114
376.000000, 0.723936
377.000000, 0.723793
378.000000, 0.723632
379.000000, 0.723453
380.000000, 0.723261
381.000000, 0.723029
382.000000, 0.722824
383.000000, 0.722666
384.000000, 0.722484
385.000000, 0.722302
386.000000, 0.722152
387.000000, 0.721960
388.000000, 0.721782
389.000000, 0.721635
390.000000, 0.721487
391.000000, 0.721319
392.000000, 0.721142
393.000000, 0.720959
394.000000, 0.720781
395.000000, 0.720612
396.000000, 0.720403
397.000000, 0.720262
398.000000, 0.720095
399.000000, 0.719927
400.000000, 0.719677
401.000000, 0.719471
402.000000, 0.719298
403.000000, 0.719179
404.000000, 0.719036
405.000000, 0.718904
406.000000, 0.718790
407.000000, 0.718655
408.000000, 0.718542
409.000000, 0.718432
410.000000, 0.718297
411.000000, 0.718184
412.000000, 0.718030
413.000000, 0.717875
414.000000, 0.717711
415.000000, 0.717587
416.000000, 0.717477
417.000000, 0.717344
418.000000, 0.717223
419.000000, 0.717097
420.000000, 0.716989
421.000000, 0.716875
422.000000, 0.716750
423.000000, 0.716650
424.000000, 0.716541
425.000000, 0.716420
426.000000, 0.716279
427.000000, 0.716165
428.000000, 0.716034
429.000000, 0.715884
430.000000, 0.715763
431.000000, 0.715599
432.000000, 0.715444
433.000000, 0.715312
434.000000, 0.715188
435.000000, 0.714992
436.000000, 0.714813
437.000000, 0.714658
438.000000, 0.714563
439.000000, 0.714437
440.000000, 0.714289
441.000000, 0.714182
442.000000, 0.714077
443.000000, 0.713966
444.000000, 0.713858
445.000000, 0.713739
446.000000, 0.713600
447.000000, 0.713522
448.000000, 0.713368
449.000000, 0.713343
450.000000, 0.713279
451.000000, 0.713171
452.000000, 0.713036
453.000000, 0.712951
454.000000, 0.712802
455.000000, 0.712676
456.000000, 0.712602
457.000000, 0.712496
458.000000, 0.712400
459.000000, 0.712318
460.000000, 0.712235
461.000000, 0.712115
462.000000, 0.712007
463.000000, 0.711920
464.000000, 0.711794
465.000000, 0.711703
466.000000, 0.711648
467.000000, 0.711571
468.000000, 0.711496
469.000000, 0.711413
470.000000, 0.711303
471.000000, 0.711204
472.000000, 0.711130
473.000000, 0.711054
474.000000, 0.710973
475.000000, 0.710865
476.000000, 0.710772
477.000000, 0.710677
478.000000, 0.710572
479.000000, 0.710489
480.000000, 0.710361
481.000000, 0.710233
482.000000, 0.710106
483.000000, 0.709996
484.000000, 0.709870
485.000000, 0.709795
486.000000, 0.709693
487.000000, 0.709567
488.000000, 0.709459
489.000000, 0.709416
490.000000, 0.709321
491.000000, 0.709210
492.000000, 0.709124
493.000000, 0.709031
494.000000, 0.708960
495.000000, 0.708903
496.000000, 0.708819
497.000000, 0.708761
498.000000, 0.708706
499.000000, 0.708614
500.000000, 0.708520
501.000000, 0.708424
502.000000, 0.708379
503.000000, 0.708287
504.000000, 0.708171
505.000000, 0.708100
506.000000, 0.707995
507.000000, 0.707903
508.000000, 0.707798
509.000000, 0.707703
510.000000, 0.707580
511.000000, 0.707485
512.000000, 0.707398
513.000000, 0.707293
514.000000, 0.707223
515.000000, 0.707144
516.000000, 0.707064
517.000000, 0.707001
518.000000, 0.706936
519.000000, 0.706908
