s, A
0.000000, 0.344272
1.000000, 0.344287
2.000000, 0.343802
3.000000, 0.335389
4.000000, 0.343557
5.000000, 0.335526
6.000000, 0.337686
7.000000, 0.337269
8.000000, 0.346778
9.000000, 0.338979
10.000000, 0.345975
11.000000, 0.338637
12.000000, 0.338347
13.000000, 0.346775
14.000000, 0.338834
15.000000, 0.349265
16.000000, 0.341740
17.000000, 0.342153
18.000000, 0.333044
19.000000, 0.343996
20.000000, 0.346343
21.000000, 0.338622
22.000000, 0.346916
23.000000, 0.337422
24.000000, 0.345757
25.000000, 0.345643
26.000000, 0.347936
27.000000, 0.347088
28.000000, 0.338385
29.000000, 0.339059
30.000000, 0.338907
31.000000, 0.346888
32.000000, 0.346260
33.000000, 0.338518
34.000000, 0.338986
35.000000, 0.338070
36.000000, 0.338341
37.000000, 0.339285
38.000000, 0.339289
39.000000, 0.339511
40.000000, 0.347308
41.000000, 0.339360
42.000000, 0.339438
43.000000, 0.338709
44.000000, 0.347574
45.000000, 0.332293
46.000000, 0.332844
47.000000, 0.349903
48.000000, 0.351165
49.000000, 0.340698
50.000000, 0.341931
51.000000, 0.342174
52.000000, 0.340865
53.000000, 0.341056
54.000000, 0.339570
55.000000, 0.339567
56.000000, 0.339429
57.000000, 0.339466
58.000000, 0.338499
59.000000, 0.338998
60.000000, 0.346426
