s, A
0.000000, 0.963466
1.000000, 0.963530
2.000000, 0.953444
3.000000, 0.961138
4.000000, 0.961170
5.000000, 0.954240
6.000000, 0.954630
7.000000, 0.952160
8.000000, 0.951581
9.000000, 0.949599
10.000000, 0.957276
11.000000, 0.957377
12.000000, 0.956792
13.000000, 0.948478
14.000000, 0.952407
15.000000, 0.952155
16.000000, 0.947983
17.000000, 0.947727
18.000000, 0.951092
19.000000, 0.943414
20.000000, 0.946727
21.000000, 0.946447
22.000000, 0.946190
23.000000, 0.948207
24.000000, 0.937923
25.000000, 0.954529
26.000000, 0.938198
27.000000, 0.946128
28.000000, 0.954559
29.000000, 0.938007
30.000000, 0.945128
31.000000, 0.945181
32.000000, 0.937731
33.000000, 0.938968
34.000000, 0.939045
35.000000, 0.946720
36.000000, 0.937402
37.000000, 0.937392
38.000000, 0.928709
39.000000, 0.937316
40.000000, 0.936978
41.000000, 0.925741
42.000000, 0.927044
43.000000, 0.943039
44.000000, 0.934683
45.000000, 0.927189
46.000000, 0.942503
47.000000, 0.933732
48.000000, 0.933869
49.000000, 0.933645
50.000000, 0.934653
51.000000, 0.945004
52.000000, 0.937292
53.000000, 0.941974
54.000000, 0.929760
55.000000, 0.927304
56.000000, 0.935059
57.000000, 0.926103
58.000000, 0.934192
59.000000, 0.918879
60.000000, 0.922808
