s, A
0.000000, 0.618685
1.000000, 0.601247
2.000000, 0.549540
3.000000, 0.558046
4.000000, 0.511166
5.000000, 0.574931
6.000000, 0.540980
7.000000, 0.577214
8.000000, 0.638872
9.000000, 0.612372
10.000000, 0.632382
11.000000, 0.595788
12.000000, 0.595000
13.000000, 0.661587
14.000000, 0.555921
15.000000, 0.602900
16.000000, 0.600134
17.000000, 0.619752
18.000000, 0.659668
19.000000, 0.643349
20.000000, 0.578335
21.000000, 0.626615
22.000000, 0.568499
23.000000, 0.509804
24.000000, 0.577690
25.000000, 0.525624
26.000000, 0.536377
27.000000, 0.558355
28.000000, 0.629862
29.000000, 0.575644
30.000000, 0.576777
31.000000, 0.593868
32.000000, 0.590230
33.000000, 0.507625
34.000000, 0.560629
35.000000, 0.606244
36.000000, 0.538988
37.000000, 0.628245
38.000000, 0.520166
39.000000, 0.558744
40.000000, 0.578447
41.000000, 0.555763
42.000000, 0.580353
43.000000, 0.525779
44.000000, 0.560530
45.000000, 0.458170
46.000000, 0.547162
47.000000, 0.549430
48.000000, 0.596367
49.000000, 0.542872
50.000000, 0.645571
51.000000, 0.660400
52.000000, 0.500778
53.000000, 0.582466
54.000000, 0.545876
55.000000, 0.575736
56.000000, 0.666943
57.000000, 0.596437
58.000000, 0.634904
59.000000, 0.686104
60.000000, 0.616105
