s, A
0.000000, 0.495935
1.000000, 0.487009
2.000000, 0.432525
3.000000, 0.423500
4.000000, 0.415958
5.000000, 0.423196
6.000000, 0.423448
7.000000, 0.423688
8.000000, 0.419260
9.000000, 0.419125
10.000000, 0.411302
11.000000, 0.441293
12.000000, 0.435571
13.000000, 0.441443
14.000000, 0.457869
15.000000, 0.433360
16.000000, 0.441888
17.000000, 0.427209
18.000000, 0.425871
19.000000, 0.438103
20.000000, 0.446477
21.000000, 0.436757
22.000000, 0.435839
23.000000, 0.440079
24.000000, 0.433227
25.000000, 0.426730
26.000000, 0.446166
27.000000, 0.435924
28.000000, 0.440405
29.000000, 0.417900
30.000000, 0.463166
31.000000, 0.436580
32.000000, 0.437993
33.000000, 0.421010
34.000000, 0.418579
35.000000, 0.434641
36.000000, 0.434404
37.000000, 0.456487
38.000000, 0.427680
39.000000, 0.424691
40.000000, 0.438768
41.000000, 0.446330
42.000000, 0.427573
43.000000, 0.440360
44.000000, 0.441213
45.000000, 0.439404
46.000000, 0.431206
47.000000, 0.440023
48.000000, 0.423434
49.000000, 0.431107
50.000000, 0.431134
51.000000, 0.417419
52.000000, 0.440098
53.000000, 0.433931
54.000000, 0.423260
55.000000, 0.422786
56.000000, 0.438221
57.000000, 0.431096
58.000000, 0.440718
59.000000, 0.428945
60.000000, 0.434018
