sincing_velocity in px/s;mean esd in px;max esd in px;mean width in px;mean height in px;roughness;sharpness;porosity in px;intensity;first x position;first y position;timestamp;last x position;last y position;filename;gof
17.318254451665606;4.318770025626336;5.292567428401227;6.0;6.857142857142857;1.5216542789337342;32.43178579123958;0.16253101762790548;43.5;141;833;45.421388387680054;151;835;Object19;0.9136441852093902
19.328084476798008;4.783622902118566;5.292567428401227;5.285714285714286;9.285714285714286;1.440912855254923;79.2420923632611;0.19093019084911025;50.241379310344826;169;837;46.88917851448059;180;837;Object20;0.9931969363413247
17.54265482686041;3.6410786051916064;4.145929793656026;4.346153846153846;6.615384615384615;1.3229703868190006;65.27713952713952;0.14625247954094878;48.0705467372134;216;840;49.512726068496704;236;842;Object22;0.9964195437502926
15.939282393874281;3.9332831575079577;4.222008245644752;4.833333333333333;7.5;1.408559321210813;42.828327228327225;0.12886272279783714;46.3;284;846;53.5689172744751;292;847;Object26;0.9884310770079492
16.109588456054805;3.5560326668500886;3.9088200952233594;4.857142857142857;7.0;1.4917085104475285;51.9702404738119;0.1335207829697496;42.58620689655172;311;850;55.2809522151947;324;849;Object28;0.991397609323941
15.323349932224163;3.7647692853946335;4.918490759365935;5.05;6.366666666666666;1.3298443843334333;63.79700424303365;0.14269527107599198;48.451042195174146;334;851;56.800840854644775;368;853;Object30;0.9975678204402185
12.769826437400448;4.503587421948578;4.918490759365935;5.2727272727272725;8.454545454545455;1.4094554112993982;90.32551247771836;0.19065881443006505;50.888888888888886;372;853;59.265233755111694;382;855;Object31;0.9799385006526122
13.715775554776867;3.736647557298343;4.145929793656026;4.476190476190476;7.904761904761905;1.5133698367884076;73.09860233137545;0.15563958950270262;49.87037037037037;383;854;60.096972942352295;396;855;Object32;0.9861085917799385
13.730430750160387;3.2396553743957526;3.385137501286538;4.166666666666667;6.333333333333333;1.3863959688797767;31.804377104377107;0.12143862952253401;42.869565217391305;478;859;66.8650975227356;484;858;Object35;0.9359510436965635
16.331249586254543;13.557604617144134;16.83139324903241;16.92079207920792;19.51925192519252;1.572934086036447;111.06273651172813;0.7784776287276887;57.6231004055491;12;829;38.73072552680969;517;869;Object15;0.9951611672796611
30.017590945393934;20.007151319008518;23.275812043510143;23.88888888888889;28.659003831417625;1.321722122259559;84.71922018299539;1.096250529557001;56.28530575277899;16;1030;62.49729871749878;277;1065;Object33;0.9998468400610871
10.80513308199535;9.327886324743034;12.334995970645954;11.633037694013304;11.493348115299336;1.258066761572039;67.38124834239551;0.4121860581953368;49.34484837628304;517;868;69.4567801952362;845;895;Object36;0.9992832442389386
4.19130911435692;5.833320098159014;6.90988298942671;7.6419753086419755;7.592592592592593;1.2247892327095915;42.66282490394516;0.2128868865691843;46.065859057326975;870;908;103.16865491867065;883;917;Object38;0.9596116765474708
