sincing_velocity in px/s;mean esd in px;max esd in px;mean width in px;mean height in px;roughness;sharpness;porosity in px;intensity;first x position;first y position;timestamp;last x position;last y position;filename;gof
144.9334977026162;5.4500802010195235;7.312732791431452;8.5;7.333333333333333;1.394892163254705;64.63924446029937;0.15204514185787701;45.44444444444444;547;275;0.026417970657348633;660;79;Object22692;0.5100367328143374
314.5211247498353;9.95095668744475;13.327299669871433;13.142857142857142;15.714285714285714;1.5462034183259499;75.36124641034328;0.5033474341511854;42.211920529801326;474;150;0.026417970657348633;624;76;Object22698;0.8226362941846705
582.9913659343445;132.86735415192393;140.8283201936573;210.125;201.375;2.5005014583851084;99.79330057447444;19.730568322076895;97.03993886230728;1630;469;0.026417970657348633;1804;451;Object22687;0.9498138566545269
409.13637477670966;27.29373973639401;32.60605802383755;28.25;38.875;1.3464942211379483;69.54707272430693;0.8985597825206608;53.614525139664806;424;50;0.026417970657348633;641;146;Object22701;0.9292243242905731
186.1220380852452;52.380543356637105;55.50891548444353;57.55555555555556;66.88888888888889;1.2462691449696803;52.693008416081824;3.6179876108195925;68.9437531110005;445;844;0.026417970657348633;505;831;Object22678;0.9791601254355632
444.68745250839044;105.6568155172491;107.04447338767237;190.44444444444446;95.77777777777777;2.0165862269928985;78.3878846286986;14.071505510744373;95.75936225435669;464;567;0.026417970657348633;609;529;Object22682;0.9781358235249644
647.6297320026357;37.32753434539214;40.3385688661799;72.11111111111111;33.77777777777778;1.5961888700567834;88.16717484669137;2.0077678679262037;56.09513888888889;351;284;0.026417970657348633;566;266;Object22693;0.9849173059776254
665.1148571119637;16.592030678810865;19.065935330370994;22.0;22.09090909090909;1.5049876983598958;59.88754274186035;0.6543273209514968;41.05434782608695;1261;436;0.026417970657348633;1597;417;Object22684;0.9734765731842021
353.42912464965633;5.3046150629621485;8.812923024107548;8.857142857142858;6.571428571428571;1.4480395343131003;44.34054485772804;0.21787546727680057;44.983333333333334;491;1055;0.026417970657348633;727;1028;Object22670;0.7096257030615066
-0.4910082374192012;21.3892710326699;27.558798748031897;25.5;28.5;1.3437976931260252;49.31925517563669;0.5364211746780495;40.619897959183675;906;467;0.36272764205932617;919;515;Object22723;1.0862851242410265e-05
-271.90483279783007;10.890162696172625;17.26088217525478;16.25;13.083333333333334;1.3614960512450385;69.93910784151649;0.45747474833516844;47.94736842105263;753;992;0.1407914161682129;547;1059;Object22703;0.37273335642547756
-1.3193063805241816;4.393265260523827;7.48482063701911;7.2727272727272725;6.090909090909091;1.3991105120259297;82.02441718049826;0.14901211166665876;47.08695652173913;179;436;0.28119611740112305;211;412;Object22714;5.6032189945764976e-05
-110.09427871357703;3.8525488616240486;4.720348719413148;6.333333333333333;6.333333333333333;1.5571982391337273;41.603388473125314;0.1065838798527994;46.6;1128;951;0.36272764205932617;875;1026;Object22719;0.1211582507821235
236.84308074495996;35.32858595190891;57.381159474910675;57.0;30.266666666666666;1.4770452052960636;79.69347836892236;1.1602465452974648;47.00815494393476;895;495;0.1407914161682129;1148;516;Object22704;0.9917453351016418
-44.76505748194073;10.378610818253156;18.898245746582223;16.0;14.916666666666666;1.4957657836329359;59.381554928540886;0.24595497643743486;54.36363636363637;1000;55;0.28119611740112305;988;107;Object22716;0.08990617133051315
477.6981197045327;9.994947624502974;11.834540545406394;12.3;12.8;1.2406593067479328;93.32922197109139;0.4768301891392614;55.427083333333336;14;774;0.36272764205932617;233;756;Object22721;0.9497985984588918
340.38300614254365;15.389641888142481;18.77997214831907;21.625;14.875;1.234104669807936;82.60408755085354;0.5232452346871059;47.052132701421804;1171;964;0.44745683670043945;1368;936;Object22734;0.9883829571252998
876.692251128641;12.586356293862966;19.75469363116845;16.36842105263158;16.68421052631579;1.392923949772648;85.25481570726726;0.6999151386900564;45.52942438236556;1078;300;0.026417970657348633;1898;296;Object22690;0.9886163324707331
