sincing_velocity in px/s;mean esd in px;max esd in px;mean width in px;mean height in px;roughness;sharpness;porosity in px;intensity;first x position;first y position;timestamp;last x position;last y position;filename;gof
-254.0333935329854;7.425251119709401;9.304852983362556;12.333333333333334;7.666666666666667;1.3279507621905096;46.98614591171677;0.19778957984652806;43.0;380;679;0.033164024353027344;347;653;Object54;0.7530903374266867
147.16746546384624;39.622904035447455;54.67692795904102;66.66666666666667;54.166666666666664;1.9460565753073809;36.12654382639685;1.5288308667787887;48.81019450033534;360;697;0.06442952156066895;379;676;Object55;0.8196117827651134
254.05853737527565;121.15557234868656;124.28316674817482;156.75;116.16666666666667;1.3631464793381036;59.23602196035055;27.42920430062078;125.22792132664867;1742;472;0.06442952156066895;1833;476;Object56;0.9954404032700153
69.42545681655507;4.212945916175699;5.641895835477563;5.6;5.6;1.238646404422866;44.34820339619101;0.13741629792100277;50.6875;281;761;0.033164024353027344;326;747;Object53;0.9918565014036788
80.66428131827175;8.819337743174529;12.514330345744634;8.454545454545455;11.909090909090908;1.2029636241872124;42.533558676519014;0.4157748852495045;59.93103448275862;368;701;0.16048097610473633;396;697;Object58;0.9945546707469668
45.35392739743252;6.359495306018377;8.097643889049511;9.818181818181818;8.272727272727273;1.4415056829715664;42.86513025143924;0.2570129921275452;41.42391304347826;582;962;0.19273066520690918;597;958;Object59;0.9876492653167716
-276.50845251121433;4.041279205379807;5.046265044040321;5.083333333333333;6.666666666666667;1.310424755638911;33.990434096398495;0.13194244022234364;46.85;268;570;0.19273066520690918;113;621;Object60;0.7364160425845612
-95.8550742271561;7.789343814508186;10.940041919714261;9.11111111111111;12.0;1.4158552678220913;48.03770798229985;0.32587283060160516;45.52615334632878;335;47;0.862748384475708;278;22;Object63;0.5336828789851074
51.168583963425505;5.961532832917854;6.627726932618989;9.11111111111111;10.666666666666666;1.7717683875294297;37.835040662197;0.24902392551863878;37.422764227642276;211;342;1.3604373931884766;224;340;Object68;0.9773715835901731
-11.796646413553521;4.017269039301668;4.853342309955121;6.3076923076923075;5.6923076923076925;1.3373334940634816;41.18017147224972;0.1565030648481295;42.68571428571428;293;118;1.2963955402374268;300;18;Object66;0.012112604795044835
191.21754139312753;7.858942613154758;12.914889870235298;9.928571428571429;10.571428571428571;1.3314434739675196;30.874361651175008;0.14474763157138218;44.65384615384615;626;945;1.3287601470947266;741;726;Object67;0.8447833208349173
175.33849607925399;33.56338715924611;56.941237259723216;46.77777777777778;49.7037037037037;1.581511780374302;40.48440677419903;1.8885656237326305;48.62656801554175;396;721;0.09635758399963379;737;722;Object57;0.9929542168704935
73.53865126678781;5.674477819295585;7.442171739215616;6.041666666666667;8.583333333333334;1.2593592738041093;35.98826866145179;0.2292753915194578;46.39164648910412;134;617;1.2325770854949951;211;607;Object64;0.9988473593258058
160.7090381851377;3.8181580371265675;4.652426491681278;5.5;5.666666666666667;1.3667692768121225;35.3530044030044;0.12667682734595265;42.72;236;667;2.752511739730835;275;990;Object76;0.5385051978887483
141.7906042415047;4.2468153536190805;5.698035485213008;4.888888888888889;6.444444444444445;1.2099349775115296;25.950738279808046;0.16443140642896337;47.25925925925926;189;582;2.960326910018921;248;661;Object79;0.9773521789251423
195.4991172158276;26.052240743232606;41.8642357308473;29.337662337662337;42.116883116883116;1.5150132327699646;38.96408843124414;1.2821646235060717;48.193773234879146;516;744;0.8004817962646484;1051;791;Object62;0.9983599568145872
60.40543983680048;6.180967486734435;7.858251581595959;7.315789473684211;8.052631578947368;1.2191993255512532;35.2982391733612;0.204439496507467;48.062687687687685;242;602;2.752511739730835;297;594;Object77;0.9962731523454086
194.12466739829165;15.511988941484818;17.535317221354788;16.333333333333332;25.5;1.4419691588231374;29.114398478416472;0.4282402903120919;46.08641975308642;983;795;3.1844165325164795;1018;794;Object83;0.9726859783552124
28.57319435866793;4.491028978556406;5.352372348458314;7.523809523809524;5.666666666666667;1.345999519440391;41.35415588773984;0.1866091773209801;43.11162227602905;306;8;2.7205371856689453;275;198;Object75;0.030582602771656364
-47.94203669316364;5.7056486440558425;7.527227892173502;6.590909090909091;8.409090909090908;1.3000653738379666;33.79659999768431;0.21840458297995724;43.22857142857143;125;648;2.816385507583618;41;593;Object78;0.1433695373225362
-122.20455939474441;5.706041663390757;7.136496464611085;6.866666666666666;10.133333333333333;1.4491898515615518;43.139381112714446;0.2301957562783127;45.10909090909091;121;11;3.056506395339966;74;71;Object81;0.7078548794424975
58.305295749228314;4.391191297209365;5.352372348458314;5.857142857142857;6.214285714285714;1.2976536385047521;29.741149348955634;0.1910105182809409;44.285714285714285;21;361;3.296403408050537;48;251;Object84;0.9739564475980288
180.0324278956714;9.551433914950579;12.412170838050638;10.0;14.0;1.2411258335274777;23.36868686868687;0.4685472962931442;42.54581673306773;1103;773;3.8563578128814697;1147;799;Object85;0.9176676675518176
50.95791010837164;8.912182478062897;13.159049284959082;10.342105263157896;11.105263157894736;1.2070548784788209;36.62537216864293;0.5969836815804789;67.02678551670317;21;167;2.960326910018921;118;15;Object80;0.8798554904893421
64.83653537065592;4.263628761322401;5.046265044040321;6.0;5.0;1.1310112646448114;93.82551039807417;0.20268482261619006;52.111111111111114;9;43;4.416371822357178;27;42;Object89;0.9860752657974406
190.69557902125445;8.774862345352524;11.451797811161432;8.166666666666666;12.5;1.1704938779615885;30.841477765390806;0.30878762030638274;49.3235294117647;1311;808;4.928531169891357;1354;809;Object91;0.99803116559972
70.39873438155986;6.631902323314067;7.1809610472257885;8.625;7.25;1.1110595450019995;46.3390024056618;0.24305684828783578;51.91891891891892;90;37;5.72846245765686;106;35;Object94;0.9969535822334015
5.144583542691291;4.449082560757415;5.292567428401227;7.857142857142857;7.571428571428571;1.5778246533555775;28.39890387390387;0.14718765987195576;44.407407407407405;1778;24;5.792354106903076;1804;26;Object98;0.00019624297303588722
343.198381184772;4.0602190588991345;7.1809610472257885;5.555555555555555;6.0;1.2734877109074;43.94887435923218;0.1298681828527221;43.958333333333336;36;202;5.954436779022217;194;240;Object100;0.8830770374973097
-292.90706443213605;4.20949264741055;6.128667601500942;5.230769230769231;6.846153846153846;1.3049458264711578;66.24892813429602;0.17729202386777312;44.3421052631579;218;68;5.954436779022217;95;177;Object101;0.8698790045639566
60.956197188487316;12.26927092967622;16.175621361885174;16.818181818181817;14.863636363636363;1.33534877387045;63.439633141864306;0.5983735873406397;48.165711510441966;289;956;5.700824975967407;359;958;Object92;0.7557058781686524
513.0387920604095;4.462368824840229;5.4700209598571305;7.5;4.666666666666667;1.2595809267634464;89.0899723839379;0.09682459210516516;45.92307692307692;87;178;6.561738729476929;197;240;Object103;0.4884725498700697
50.531753525877605;5.1310484156286424;7.136496464611085;6.333333333333333;10.222222222222221;1.5097596201833499;45.53708899256415;0.22679310282180057;46.5950730711369;84;591;5.888396501541138;139;565;Object99;0.9979988884381714
-179.6369037877885;7.215589650266841;9.201653640780462;11.928571428571429;7.0;1.3254098092551803;53.629154808776654;0.36808895923287294;54.5;219;352;6.561738729476929;7;313;Object102;0.23305462302424207
58.319934828999884;5.277870849547636;5.863230142835039;7.111111111111111;7.333333333333333;1.257068409220921;35.7579394097514;0.18071634626383745;43.97560975609756;32;312;7.488142490386963;50;312;Object109;0.9815108600831516
75.90270782603307;3.6717065763615255;4.370193722368317;4.777777777777778;5.555555555555555;1.2580528940233908;72.26301803403251;0.14585030058095746;57.416666666666664;15;276;7.558076858520508;61;276;Object111;0.9987687145085735
177.45593746309797;8.221741409894294;12.69113085619237;10.909090909090908;13.454545454545455;1.4473172210363539;38.14294855850929;0.2640645656861877;40.56730769230769;1787;764;7.707471609115601;1875;778;Object113;0.9905452059573355
174.99807720321277;18.18421787499389;28.16430784468183;16.47142857142857;29.3;1.3540719598337851;35.23004269052539;0.7637973334742593;51.49208774964812;1463;817;5.761099576950073;1911;836;Object95;0.9995633288641296
55.61911031008875;5.787464167874653;6.955796338302048;10.058823529411764;5.588235294117647;1.274886032491953;39.235482148600006;0.2293636831849769;48.410526315789475;231;350;7.658356428146362;257;352;Object112;0.9932576726417217
104.00315170861755;9.331208058500737;12.386499309352384;11.2;11.4;1.1851709562656907;33.115910797584846;0.2962363195935992;48.42424242424242;394;946;7.762469053268433;474;962;Object114;0.8808167882894395
64.47616732363409;4.271438655250789;4.787307364817192;7.5;4.5;1.2499712331755377;49.957623330758196;0.16834650060028417;49.64;239;27;8.048432111740112;251;27;Object118;0.960076120050831
61.18244484542329;3.6956389771850398;5.170882945826411;4.533333333333333;6.266666666666667;1.2617458218923323;53.53563493041754;0.16635220168606735;55.05882352941177;100;560;8.62436580657959;140;611;Object120;0.997910215710137
-137.4130012544219;4.095824526332918;5.352372348458314;6.923076923076923;4.769230769230769;1.3255140746684249;57.63034743034743;0.16099324207620613;48.16;200;464;8.759475946426392;150;595;Object121;0.7090519657777828
92.62279412311757;13.367032959402815;21.498510523728477;16.589041095890412;15.705479452054794;1.241633136766726;54.20352778326707;0.6998953510119216;53.31664573078364;18;234;4.416371822357178;470;223;Object88;0.9998708130798658
-350.88954654613036;4.979076857467682;5.698035485213008;9.6;6.1;1.5695546845597792;48.10714888826344;0.1995335296874761;45.08510638297872;234;250;9.120527505874634;47;245;Object125;0.9519936059599332
40.22650822750799;4.639691644229595;8.136857890256438;8.363636363636363;7.363636363636363;1.6407579223943387;81.49364191364192;0.15504890835654692;44.15625;12;250;9.216295003890991;52;245;Object126;0.4817299914549803
64.67137729055814;17.205161109365868;32.810425706984965;22.62686567164179;22.29850746268657;1.3658352836694811;41.737364557292416;0.6870696415811722;47.450591347110596;423;967;7.520281076431274;567;966;Object110;0.9815145378426795
76.73337873754724;5.239500291549045;6.231677632421503;7.105263157894737;6.947368421052632;1.249345716637839;47.82459148739661;0.17405454073857785;44.088235294117645;165;564;9.680970191955566;237;311;Object132;0.6134347324740541
14.170780175306941;4.414493873501742;5.292567428401227;6.444444444444445;5.666666666666667;1.3345758970700219;68.48830845699239;0.13441742889592134;46.49523809523809;164;613;9.740295171737671;182;598;Object133;0.830276279057727
48.03085079994884;13.972952933702935;19.39696588307668;17.6875;21.875;1.4303669533573484;30.76950023249904;0.5796003819092667;44.47808316934455;586;973;9.919964075088501;638;991;Object137;0.5147369939450446
40.57455127856145;4.233487977296802;4.982787485166879;5.9;5.4;1.2809812514728738;97.81993936068379;0.16828290446126684;46.56666666666667;41;675;10.224483251571655;54;675;Object141;0.9871786544400524
93.41867882932678;8.852194340136156;10.280023453913834;11.785714285714286;10.642857142857142;1.300588462706264;62.273861202788915;0.35364741442081477;43.93181818181818;554;220;10.194689989089966;599;220;Object139;0.989845480091075
-215.46821908861523;3.7396396162828696;4.068428945128219;5.0;5.5;1.1971003132964255;64.63285175547549;0.11688860420081874;48.06666666666667;409;22;10.720375061035156;285;197;Object144;0.911840759738412
-68.7941956535492;4.865586116996985;6.4820448144285745;10.34375;6.25;1.7084276256722644;43.8660339099295;0.21987438698405634;48.194832944832946;222;312;10.318140983581543;84;12;Object143;0.3987376543511446
108.81637223092281;3.573846567623962;4.068428945128219;5.111111111111111;5.444444444444445;1.297349253538244;36.759764309764314;0.10342066879322132;47.46153846153846;151;647;11.086405038833618;197;597;Object146;0.8876568252787951
-449.0611482510454;4.08410812268957;4.720348719413148;6.25;6.125;1.368552641069081;43.77387338344614;0.12555475283854325;41.2962962962963;191;598;11.21243667602539;51;164;Object149;0.624799103373416
23.93434148482355;4.144738193841263;6.90988298942671;5.181818181818182;8.181818181818182;1.4783196583731717;58.09660010221508;0.14488591955076355;43.48275862068966;939;997;11.21243667602539;950;995;Object148;0.9526693733271996
-75.27787129254823;4.8464543378044995;5.698035485213008;6.866666666666666;6.0;1.2508845886202156;27.689340463458112;0.16687533755963513;43.638888888888886;292;485;11.086405038833618;166;411;Object147;0.10558869075577604
19.745927557354765;5.684302093951742;7.269074295019226;8.807692307692308;5.846153846153846;1.2434977809600505;54.218599858570535;0.2451225988137986;50.007734389737784;9;262;11.280362129211426;53;164;Object151;0.09316645874734097
322.32416352685703;3.3460057468039337;3.826519928662906;5.166666666666667;4.166666666666667;1.1905983753554488;60.571559086803;0.11505922281450921;43.75;29;231;12.11251163482666;184;265;Object154;0.5669100579394744
